order_item_id,order_id,product_id,seller_id,quantity,unit_price,total_price
ITEM000000001,ORD00000001,PROD000040,SEL00195,2,40.96,81.92
ITEM000000002,ORD00000002,PROD000843,SEL00110,2,8.36,16.72
ITEM000000003,ORD00000003,PROD000198,SEL00032,2,38.01,76.02
ITEM000000004,ORD00000004,PROD000004,SEL00073,2,200.2,400.4
ITEM000000005,ORD00000004,PROD000002,SEL00103,1,26.74,26.74
ITEM000000006,ORD00000004,PROD000068,SEL00112,1,106.86,106.86
ITEM000000007,ORD00000004,PROD000728,SEL00157,1,47.31,47.31
ITEM000000008,ORD00000005,PROD000537,SEL00067,1,12.16,12.16
ITEM000000009,ORD00000006,PROD000738,SEL00101,1,99.26,99.26
ITEM000000010,ORD00000007,PROD000220,SEL00099,1,33.19,33.19
ITEM000000011,ORD00000007,PROD000141,SEL00145,2,42.93,85.86
ITEM000000012,ORD00000008,PROD000011,SEL00072,1,19.6,19.6
ITEM000000013,ORD00000009,PROD000065,SEL00144,1,82.91,82.91
ITEM000000014,ORD00000009,PROD000136,SEL00180,1,187.94,187.94
ITEM000000015,ORD00000009,PROD000004,SEL00085,2,180.18,360.36
ITEM000000016,ORD00000009,PROD000025,SEL00009,2,15.78,31.56
ITEM000000017,ORD00000010,PROD000331,SEL00019,1,32.7,32.7
ITEM000000018,ORD00000011,PROD000602,SEL00051,1,10.08,10.08
ITEM000000019,ORD00000011,PROD001493,SEL00005,2,14.59,29.18
ITEM000000020,ORD00000012,PROD001218,SEL00076,1,44.0,44.0
ITEM000000021,ORD00000013,PROD000406,SEL00100,1,61.48,61.48
ITEM000000022,ORD00000013,PROD000125,SEL00050,2,59.81,119.62
ITEM000000023,ORD00000013,PROD000395,SEL00078,1,121.67,121.67
ITEM000000024,ORD00000014,PROD000730,SEL00173,3,11.57,34.71
ITEM000000025,ORD00000015,PROD000007,SEL00032,2,200.55,401.1
ITEM000000026,ORD00000015,PROD000117,SEL00092,1,32.62,32.62
ITEM000000027,ORD00000015,PROD000889,SEL00045,1,69.16,69.16
ITEM000000028,ORD00000016,PROD000098,SEL00068,2,47.26,94.52
ITEM000000029,ORD00000016,PROD000291,SEL00096,1,25.46,25.46
ITEM000000030,ORD00000016,PROD000315,SEL00167,1,143.89,143.89
ITEM000000031,ORD00000017,PROD000017,SEL00008,3,9.89,29.67
ITEM000000032,ORD00000017,PROD000084,SEL00122,1,16.61,16.61
ITEM000000033,ORD00000017,PROD000069,SEL00122,1,46.15,46.15
ITEM000000034,ORD00000018,PROD000001,SEL00023,1,60.15,60.15
ITEM000000035,ORD00000019,PROD000001,SEL00105,1,55.38,55.38
ITEM000000036,ORD00000019,PROD000864,SEL00130,1,285.44,285.44
ITEM000000037,ORD00000020,PROD000041,SEL00174,1,74.89,74.89
ITEM000000038,ORD00000020,PROD000221,SEL00009,1,550.12,550.12
ITEM000000039,ORD00000020,PROD000052,SEL00172,2,21.33,42.66
ITEM000000040,ORD00000020,PROD001248,SEL00010,1,11.24,11.24
ITEM000000041,ORD00000021,PROD000037,SEL00154,1,41.26,41.26
ITEM000000042,ORD00000022,PROD000132,SEL00192,3,36.23,108.69
ITEM000000043,ORD00000023,PROD000997,SEL00172,1,284.66,284.66
ITEM000000044,ORD00000024,PROD000896,SEL00183,1,67.14,67.14
ITEM000000045,ORD00000024,PROD000017,SEL00154,1,8.38,8.38
ITEM000000046,ORD00000025,PROD000777,SEL00074,2,12.64,25.28
ITEM000000047,ORD00000026,PROD000157,SEL00056,2,297.18,594.36
ITEM000000048,ORD00000027,PROD000182,SEL00188,2,10.87,21.74
ITEM000000049,ORD00000028,PROD000009,SEL00192,2,16.65,33.3
ITEM000000050,ORD00000029,PROD000004,SEL00128,1,178.99,178.99
ITEM000000051,ORD00000030,PROD000583,SEL00108,2,67.71,135.42
ITEM000000052,ORD00000031,PROD000196,SEL00155,1,53.91,53.91
ITEM000000053,ORD00000032,PROD000138,SEL00133,2,23.5,47.0
ITEM000000054,ORD00000033,PROD000587,SEL00196,3,16.57,49.71
ITEM000000055,ORD00000034,PROD000676,SEL00181,1,13.19,13.19
ITEM000000056,ORD00000035,PROD000012,SEL00189,3,16.76,50.28
ITEM000000057,ORD00000035,PROD000350,SEL00132,1,24.21,24.21
