order_id,customer_id,order_date,order_status,delivery_date,freight_value,estimated_delivery
ORD00000001,CUST0004543,2025-05-15T14:13:00,delivered,2025-05-30T14:13:00,6.63,2025-05-31T14:13:00
ORD00000002,CUST0004285,2026-07-08T01:08:14.589029,pending,,40.97,2026-07-13T01:08:14.589029
ORD00000003,CUST0003457,2025-05-11T09:53:00,processing,,35.36,2025-05-17T09:53:00
ORD00000004,CUST0000038,2024-11-26T16:17:00,delivered,2024-12-06T16:17:00,76.22,2024-12-07T16:17:00
ORD00000005,CUST0003348,2026-02-23T06:55:00,processing,,69.13,2026-03-01T06:55:00
ORD00000006,CUST0000662,2024-12-07T22:16:00,shipped,,76.33,2024-12-26T22:16:00
ORD00000007,CUST0003541,2026-05-21T16:04:00,delivered,2026-05-31T16:04:00,36.68,2026-05-26T16:04:00
ORD00000008,CUST0001675,2025-10-31T17:39:00,processing,,78.75,2025-11-15T17:39:00
ORD00000009,CUST0002746,2025-06-23T13:31:00,delivered,2025-06-25T13:31:00,15.18,2025-07-06T13:31:00
ORD00000010,CUST0001972,2026-05-23T21:27:00,shipped,,61.67,2026-06-06T21:27:00
ORD00000011,CUST0002043,2026-07-08T01:08:14.589029,shipped,,69.46,2026-07-14T01:08:14.589029
ORD00000012,CUST0000651,2024-07-19T18:38:00,delivered,2024-08-02T18:38:00,50.78,2024-07-30T18:38:00
ORD00000013,CUST0003022,2024-12-29T21:29:00,delivered,2025-01-06T21:29:00,61.92,2025-01-04T21:29:00
ORD00000014,CUST0004876,2025-06-25T18:47:00,shipped,,23.35,2025-07-03T18:47:00
ORD00000015,CUST0003038,2025-10-03T21:45:00,processing,,72.66,2025-10-22T21:45:00
ORD00000016,CUST0003180,2024-12-15T23:20:00,delivered,2024-12-25T23:20:00,51.07,2025-01-04T23:20:00
ORD00000017,CUST0004116,2026-05-19T17:54:00,delivered,2026-06-01T17:54:00,39.48,2026-06-01T17:54:00
ORD00000018,CUST0001232,2024-12-16T19:29:00,delivered,2024-12-22T19:29:00,49.76,2025-01-01T19:29:00
ORD00000019,CUST0001702,2026-07-08T01:08:14.589029,delivered,2026-07-21T01:08:14.589029,8.49,2026-07-21T01:08:14.589029
ORD00000020,CUST0002158,2025-04-26T16:41:00,delivered,2025-05-03T16:41:00,23.45,2025-05-06T16:41:00
ORD00000021,CUST0004675,2026-02-02T13:52:00,delivered,2026-02-16T13:52:00,54.93,2026-02-20T13:52:00
ORD00000022,CUST0004651,2026-07-08T01:08:14.589029,delivered,2026-07-11T01:08:14.589029,56.21,2026-07-23T01:08:14.589029
ORD00000023,CUST0002267,2025-07-10T15:30:00,delivered,2025-07-13T15:30:00,43.3,2025-07-28T15:30:00
ORD00000024,CUST0004781,2025-06-21T18:35:00,processing,,58.11,2025-06-26T18:35:00
ORD00000025,CUST0000556,2025-10-23T13:44:00,delivered,2025-11-05T13:44:00,18.54,2025-11-02T13:44:00
ORD00000026,CUST0003942,2026-04-18T19:11:00,cancelled,,10.03,2026-04-24T19:11:00
ORD00000027,CUST0003081,2024-07-08T01:08:14.589029,delivered,2024-07-18T01:08:14.589029,49.31,2024-07-15T01:08:14.589029
ORD00000028,CUST0002140,2025-05-10T10:00:00,delivered,2025-05-21T10:00:00,24.68,2025-05-18T10:00:00
ORD00000029,CUST0001851,2026-07-08T01:08:14.589029,delivered,2026-07-21T01:08:14.589029,56.15,2026-07-26T01:08:14.589029
ORD00000030,CUST0000739,2024-12-03T22:43:00,delivered,2024-12-07T22:43:00,31.65,2024-12-19T22:43:00
ORD00000031,CUST0000644,2025-04-20T22:49:00,delivered,2025-05-02T22:49:00,17.58,2025-04-28T22:49:00
ORD00000032,CUST0000475,2026-07-08T01:08:14.589029,delivered,2026-07-18T01:08:14.589029,78.44,2026-07-23T01:08:14.589029
ORD00000033,CUST0000907,2025-07-25T11:13:00,delivered,2025-08-09T11:13:00,12.28,2025-08-06T11:13:00
ORD00000034,CUST0000337,2026-01-07T23:04:00,shipped,,69.96,2026-01-18T23:04:00
ORD00000035,CUST0002554,2024-07-08T01:08:14.589029,delivered,2024-07-23T01:08:14.589029,23.16,2024-07-14T01:08:14.589029
ORD00000036,CUST0002423,2026-06-07T13:05:00,delivered,2026-06-19T13:05:00,31.73,2026-06-18T13:05:00
ORD00000037,CUST0000818,2024-09-29T19:23:00,delivered,2024-10-05T19:23:00,54.77,2024-10-14T19:23:00
ORD00000038,CUST0001945,2026-07-08T01:08:14.589029,shipped,,60.65,2026-07-18T01:08:14.589029
ORD00000039,CUST0003416,2025-10-30T09:01:00,delivered,2025-11-02T09:01:00,73.83,2025-11-16T09:01:00
ORD00000040,CUST0003420,2026-07-08T01:08:14.589029,shipped,,31.69,2026-07-25T01:08:14.589029
ORD00000041,CUST0003125,2024-07-08T01:08:14.589029,delivered,2024-07-21T01:08:14.589029,11.48,2024-07-13T01:08:14.589029
ORD00000042,CUST0002882,2025-02-05T23:40:00,delivered,2025-02-18T23:40:00,20.09,2025-02-14T23:40:00
ORD00000043,CUST0002190,2026-05-16T10:16:00,shipped,,46.74,2026-05-24T10:16:00
ORD00000044,CUST0000367,2025-10-17T06:45:00,cancelled,,73.51,2025-11-03T06:45:00
ORD00000045,CUST0001422,2024-07-08T01:08:14.589029,delivered,2024-07-17T01:08:14.589029,24.76,2024-07-25T01:08:14.589029
ORD00000046,CUST0004118,2026-07-08T01:08:14.589029,pending,,24.47,2026-07-14T01:08:14.589029
ORD00000047,CUST0003535,2024-07-08T01:08:14.589029,delivered,2024-07-18T01:08:14.589029,38.21,2024-07-25T01:08:14.589029
ORD00000048,CUST0001947,2024-07-08T01:08:14.589029,delivered,2024-07-12T01:08:14.589029,68.25,2024-07-13T01:08:14.589029
ORD00000049,CUST0003664,2024-11-20T06:13:00,delivered,2024-11-25T06:13:00,29.7,2024-12-03T06:13:00
ORD00000050,CUST0004827,2026-07-08T01:08:14.589029,delivered,2026-07-10T01:08:14.589029,76.78,2026-07-20T01:08:14.589029
ORD00000051,CUST0000762,2026-06-07T07:52:00,delivered,2026-06-20T07:52:00,21.58,2026-06-24T07:52:00
ORD00000052,CUST0004236,2025-11-17T19:53:00,shipped,,33.5,2025-11-26T19:53:00
ORD00000053,CUST0001302,2026-07-08T01:08:14.589029,delivered,2026-07-22T01:08:14.589029,13.31,2026-07-19T01:08:14.589029
ORD00000054,CUST0004178,2026-05-18T15:43:00,cancelled,,36.68,2026-06-05T15:43:00
ORD00000055,CUST0003930,2025-10-19T16:53:00,delivered,2025-10-26T16:53:00,15.99,2025-10-31T16:53:00
ORD00000056,CUST0002824,2026-07-08T01:08:14.589029,delivered,2026-07-19T01:08:14.589029,41.64,2026-07-27T01:08:14.589029
ORD00000057,CUST0000966,2026-07-08T01:08:14.589029,delivered,2026-07-19T01:08:14.589029,35.47,2026-07-23T01:08:14.589029
ORD00000058,CUST0000915,2026-06-17T19:15:00,cancelled,,5.6,2026-06-23T19:15:00
ORD00000059,CUST0001571,2024-07-08T01:08:14.589029,delivered,2024-07-20T01:08:14.589029,16.64,2024-07-21T01:08:14.589029
ORD00000060,CUST0001762,2025-11-20T11:30:00,delivered,2025-11-30T11:30:00,8.66,2025-12-03T11:30:00
ORD00000061,CUST0004147,2024-07-08T01:08:14.589029,cancelled,,46.52,2024-07-15T01:08:14.589029
ORD00000062,CUST0000855,2025-05-09T19:56:00,delivered,2025-05-14T19:56:00,48.93,2025-05-26T19:56:00
ORD00000063,CUST0003301,2026-07-08T01:08:14.589029,delivered,2026-07-21T01:08:14.589029,20.47,2026-07-22T01:08:14.589029
ORD00000064,CUST0003349,2025-10-30T10:51:00,delivered,2025-11-12T10:51:00,8.19,2025-11-06T10:51:00
ORD00000065,CUST0003720,2025-12-18T10:05:00,cancelled,,33.97,2026-01-05T10:05:00
ORD00000066,CUST0004195,2025-05-13T06:28:00,delivered,2025-05-27T06:28:00,67.41,2025-06-02T06:28:00
ORD00000067,CUST0003034,2024-07-08T01:08:14.589029,delivered,2024-07-14T01:08:14.589029,50.3,2024-07-18T01:08:14.589029
ORD00000068,CUST0004436,2024-08-22T13:33:00,shipped,,30.23,2024-09-11T13:33:00
ORD00000069,CUST0002616,2026-07-08T01:08:14.589029,delivered,2026-07-21T01:08:14.589029,50.96,2026-07-19T01:08:14.589029
ORD00000070,CUST0002755,2025-11-06T10:46:00,delivered,2025-11-17T10:46:00,24.92,2025-11-12T10:46:00
ORD00000071,CUST0002833,2024-07-08T01:08:14.589029,pending,,54.8,2024-07-16T01:08:14.589029
ORD00000072,CUST0001874,2025-09-09T13:42:00,delivered,2025-09-21T13:42:00,24.68,2025-09-29T13:42:00
ORD00000073,CUST0004100,2025-06-04T13:21:00,delivered,2025-06-17T13:21:00,52.54,2025-06-18T13:21:00
ORD00000074,CUST0003831,2024-09-11T10:15:00,processing,,45.23,2024-09-27T10:15:00
ORD00000075,CUST0004769,2025-07-20T15:53:00,delivered,2025-07-30T15:53:00,12.33,2025-08-07T15:53:00
ORD00000076,CUST0002151,2026-07-08T01:08:14.589029,delivered,2026-07-13T01:08:14.589029,60.62,2026-07-22T01:08:14.589029
ORD00000077,CUST0003281,2026-07-08T01:08:14.589029,shipped,,41.95,2026-07-28T01:08:14.589029
ORD00000078,CUST0002786,2024-08-07T21:18:00,delivered,2024-08-21T21:18:00,35.18,2024-08-15T21:18:00
ORD00000079,CUST0000159,2024-07-20T06:42:00,processing,,61.85,2024-08-08T06:42:00
ORD00000080,CUST0003543,2026-07-08T01:08:14.589029,delivered,2026-07-16T01:08:14.589029,72.79,2026-07-17T01:08:14.589029
ORD00000081,CUST0004503,2026-07-08T01:08:14.589029,pending,,64.29,2026-07-28T01:08:14.589029
ORD00000082,CUST0002830,2024-11-20T06:04:00,delivered,2024-11-22T06:04:00,50.27,2024-12-04T06:04:00
ORD00000083,CUST0003541,2025-12-30T13:20:00,delivered,2026-01-13T13:20:00,59.54,2026-01-17T13:20:00
ORD00000084,CUST0000184,2024-10-28T06:42:00,delivered,2024-11-06T06:42:00,55.52,2024-11-09T06:42:00
ORD00000085,CUST0002808,2024-12-22T19:15:00,processing,,40.32,2025-01-04T19:15:00
ORD00000086,CUST0004779,2024-07-08T01:08:14.589029,shipped,,17.47,2024-07-21T01:08:14.589029
ORD00000087,CUST0004008,2026-07-08T01:08:14.589029,delivered,2026-07-19T01:08:14.589029,69.89,2026-07-25T01:08:14.589029
ORD00000088,CUST0004361,2026-07-08T01:08:14.589029,delivered,2026-07-17T01:08:14.589029,19.07,2026-07-13T01:08:14.589029
ORD00000089,CUST0004859,2024-07-31T19:32:00,delivered,2024-08-03T19:32:00,45.28,2024-08-13T19:32:00
ORD00000090,CUST0002652,2025-12-29T09:07:00,delivered,2026-01-02T09:07:00,45.63,2026-01-15T09:07:00
ORD00000091,CUST0003235,2025-07-16T07:46:00,delivered,2025-07-24T07:46:00,54.61,2025-08-05T07:46:00
ORD00000092,CUST0001183,2026-07-08T01:08:14.589029,delivered,2026-07-21T01:08:14.589029,67.88,2026-07-26T01:08:14.589029
ORD00000093,CUST0004470,2026-07-08T01:08:14.589029,delivered,2026-07-11T01:08:14.589029,42.58,2026-07-20T01:08:14.589029
ORD00000094,CUST0002692,2025-04-14T20:19:00,delivered,2025-04-25T20:19:00,11.25,2025-04-20T20:19:00
ORD00000095,CUST0000168,2025-11-09T07:36:00,delivered,2025-11-23T07:36:00,41.49,2025-11-14T07:36:00
ORD00000096,CUST0000938,2026-07-08T01:08:14.589029,delivered,2026-07-21T01:08:14.589029,69.75,2026-07-16T01:08:14.589029
ORD00000097,CUST0000089,2025-05-04T16:59:00,delivered,2025-05-15T16:59:00,23.67,2025-05-21T16:59:00
ORD00000098,CUST0000927,2025-09-30T06:35:00,delivered,2025-10-09T06:35:00,32.51,2025-10-13T06:35:00
ORD00000099,CUST0001900,2024-11-12T23:14:00,shipped,,67.07,2024-11-23T23:14:00
ORD00000100,CUST0002673,2024-07-11T14:24:00,delivered,2024-07-25T14:24:00,56.77,2024-07-27T14:24:00
ORD00000101,CUST0000725,2024-12-08T12:05:00,delivered,2024-12-15T12:05:00,43.49,2024-12-28T12:05:00
ORD00000102,CUST0004037,2025-02-16T06:12:00,delivered,2025-02-24T06:12:00,42.52,2025-02-22T06:12:00
ORD00000103,CUST0004549,2026-05-08T20:24:00,delivered,2026-05-11T20:24:00,61.7,2026-05-27T20:24:00
ORD00000104,CUST0002293,2024-07-08T01:08:14.589029,delivered,2024-07-23T01:08:14.589029,22.49,2024-07-15T01:08:14.589029
ORD00000105,CUST0003443,2026-07-08T01:08:14.589029,cancelled,,78.77,2026-07-21T01:08:14.589029
ORD00000106,CUST0003171,2024-12-28T15:10:00,delivered,2025-01-06T15:10:00,49.58,2025-01-13T15:10:00
ORD00000107,CUST0003873,2025-05-15T17:18:00,delivered,2025-05-22T17:18:00,36.37,2025-06-03T17:18:00
ORD00000108,CUST0003174,2026-07-08T01:08:14.589029,delivered,2026-07-20T01:08:14.589029,6.85,2026-07-19T01:08:14.589029
ORD00000109,CUST0003415,2024-11-13T11:59:00,processing,,53.75,2024-12-01T11:59:00
ORD00000110,CUST0004489,2025-01-25T20:56:00,delivered,2025-02-03T20:56:00,37.93,2025-02-10T20:56:00
