payment_id,order_id,payment_sequence,payment_type,installments,payment_value,payment_status
PAY000000001,ORD00000001,1,credit_card,12,472.77,approved
PAY000000002,ORD00000002,1,boleto,1,702.0,approved
PAY000000003,ORD00000003,1,credit_card,6,1131.43,approved
PAY000000004,ORD00000004,1,credit_card,1,314.88,approved
PAY000000005,ORD00000005,1,credit_card,3,604.65,approved
PAY000000006,ORD00000006,1,boleto,1,290.06,approved
PAY000000007,ORD00000007,1,boleto,1,1059.38,approved
PAY000000008,ORD00000008,1,credit_card,2,193.25,approved
PAY000000009,ORD00000009,1,credit_card,1,1090.43,approved
PAY000000010,ORD00000010,1,credit_card,6,653.5,approved
PAY000000011,ORD00000011,1,debit_card,1,787.74,approved
PAY000000012,ORD00000012,1,debit_card,1,318.4,approved
PAY000000013,ORD00000013,1,credit_card,12,952.21,approved
PAY000000014,ORD00000014,1,credit_card,12,324.19,approved
PAY000000015,ORD00000014,2,credit_card,12,1175.65,approved
PAY000000016,ORD00000015,1,credit_card,2,975.03,approved
PAY000000017,ORD00000016,1,credit_card,2,762.24,approved
PAY000000018,ORD00000017,1,debit_card,1,188.67,approved
PAY000000019,ORD00000018,1,credit_card,1,221.81,approved
PAY000000020,ORD00000019,1,credit_card,6,258.3,approved
PAY000000021,ORD00000020,1,credit_card,12,373.35,approved
PAY000000022,ORD00000021,1,credit_card,6,168.45,approved
PAY000000023,ORD00000021,2,credit_card,3,228.71,approved
PAY000000024,ORD00000022,1,voucher,1,873.68,approved
PAY000000025,ORD00000023,1,credit_card,1,535.47,approved
PAY000000026,ORD00000024,1,credit_card,3,742.76,approved
PAY000000027,ORD00000025,1,boleto,1,689.55,approved
PAY000000028,ORD00000025,2,credit_card,2,154.66,approved
PAY000000029,ORD00000026,1,credit_card,1,451.71,refunded
PAY000000030,ORD00000027,1,debit_card,1,380.37,approved
PAY000000031,ORD00000028,1,debit_card,1,1013.41,approved
PAY000000032,ORD00000029,1,boleto,1,273.18,approved
PAY000000033,ORD00000030,1,credit_card,12,666.0,approved
PAY000000034,ORD00000031,1,boleto,1,189.59,approved
PAY000000035,ORD00000032,1,boleto,1,452.41,approved
PAY000000036,ORD00000033,1,debit_card,1,1139.99,approved
PAY000000037,ORD00000034,1,credit_card,12,254.78,approved
PAY000000038,ORD00000035,1,voucher,1,668.19,approved
PAY000000039,ORD00000036,1,boleto,1,579.8,approved
PAY000000040,ORD00000036,2,credit_card,6,405.32,approved
PAY000000041,ORD00000037,1,credit_card,1,525.56,approved
PAY000000042,ORD00000038,1,debit_card,1,419.93,approved
PAY000000043,ORD00000039,1,credit_card,1,319.26,approved
PAY000000044,ORD00000040,1,debit_card,1,474.24,approved
PAY000000045,ORD00000041,1,debit_card,1,797.36,approved
PAY000000046,ORD00000041,2,debit_card,1,230.7,approved
PAY000000047,ORD00000042,1,credit_card,6,221.91,approved
PAY000000048,ORD00000042,2,credit_card,1,55.91,approved
PAY000000049,ORD00000043,1,credit_card,1,279.6,approved
PAY000000050,ORD00000043,2,boleto,1,607.13,approved
PAY000000051,ORD00000044,1,boleto,1,1168.5,refunded
PAY000000052,ORD00000045,1,credit_card,12,207.81,approved
PAY000000053,ORD00000046,1,credit_card,3,746.22,approved
PAY000000054,ORD00000047,1,credit_card,12,537.98,approved
PAY000000055,ORD00000048,1,voucher,1,706.72,approved
PAY000000056,ORD00000049,1,credit_card,2,40.04,approved
PAY000000057,ORD00000050,1,credit_card,6,280.73,approved
PAY000000058,ORD00000051,1,credit_card,1,841.17,approved
PAY000000059,ORD00000052,1,debit_card,1,831.78,approved
PAY000000060,ORD00000053,1,debit_card,1,711.46,approved
PAY000000061,ORD00000054,1,boleto,1,282.55,refunded
PAY000000062,ORD00000055,1,boleto,1,466.64,approved
PAY000000063,ORD00000056,1,credit_card,6,457.67,approved
PAY000000064,ORD00000057,1,debit_card,1,177.77,approved
PAY000000065,ORD00000058,1,debit_card,1,409.12,refunded
PAY000000066,ORD00000059,1,boleto,1,685.1,approved
PAY000000067,ORD00000060,1,credit_card,6,527.7,approved
PAY000000068,ORD00000061,1,boleto,1,1199.29,refunded
PAY000000069,ORD00000061,2,debit_card,1,218.36,refunded
PAY000000070,ORD00000062,1,boleto,1,1187.62,approved
PAY000000071,ORD00000063,1,boleto,1,738.33,approved
PAY000000072,ORD00000063,2,credit_card,6,978.12,approved
PAY000000073,ORD00000064,1,credit_card,2,638.45,approved
PAY000000074,ORD00000065,1,boleto,1,843.24,refunded
PAY000000075,ORD00000065,2,boleto,1,690.53,refunded
PAY000000076,ORD00000066,1,credit_card,1,103.43,approved
PAY000000077,ORD00000067,1,credit_card,2,64.05,approved
PAY000000078,ORD00000068,1,boleto,1,201.19,approved
PAY000000079,ORD00000069,1,credit_card,3,1076.12,approved
PAY000000080,ORD00000070,1,credit_card,3,954.82,approved
PAY000000081,ORD00000071,1,boleto,1,134.21,approved
PAY000000082,ORD00000072,1,credit_card,12,1006.21,approved
PAY000000083,ORD00000073,1,credit_card,2,85.8,approved
PAY000000084,ORD00000073,2,debit_card,1,727.46,approved
PAY000000085,ORD00000074,1,credit_card,6,878.79,approved
PAY000000086,ORD00000075,1,credit_card,3,274.24,approved
PAY000000087,ORD00000076,1,debit_card,1,996.27,approved
PAY000000088,ORD00000077,1,credit_card,12,837.43,approved
PAY000000089,ORD00000078,1,credit_card,1,1147.59,approved
PAY000000090,ORD00000079,1,credit_card,3,386.41,approved
PAY000000091,ORD00000080,1,voucher,1,791.12,approved
PAY000000092,ORD00000081,1,boleto,1,407.26,approved
PAY000000093,ORD00000082,1,boleto,1,876.89,approved
PAY000000094,ORD00000083,1,credit_card,6,916.56,approved
PAY000000095,ORD00000084,1,credit_card,2,617.31,approved
PAY000000096,ORD00000085,1,boleto,1,129.68,approved
PAY000000097,ORD00000086,1,boleto,1,312.38,approved
PAY000000098,ORD00000087,1,voucher,1,164.98,approved
PAY000000099,ORD00000088,1,credit_card,6,49.97,approved
PAY000000100,ORD00000089,1,debit_card,1,526.41,approved
PAY000000101,ORD00000090,1,credit_card,1,702.54,approved
PAY000000102,ORD00000091,1,boleto,1,520.46,approved
PAY000000103,ORD00000092,1,credit_card,3,429.3,approved
PAY000000104,ORD00000093,1,debit_card,1,95.15,approved
PAY000000105,ORD00000094,1,debit_card,1,1139.1,approved
PAY000000106,ORD00000095,1,boleto,1,254.05,approved
PAY000000107,ORD00000096,1,debit_card,1,676.36,approved
PAY000000108,ORD00000097,1,credit_card,6,596.44,approved
PAY000000109,ORD00000098,1,debit_card,1,598.41,approved
