product_id,category_id,product_name,description,price,cost_price,weight_g,length_cm,height_cm,width_cm,stock_quantity,is_active,created_at
PROD000001,CAT0028,Premium Action Figures Office,Three stay above important new Congress study dog.,60.1,25.25,8660,90,24,65,205,True,2022-01-25T16:41:20
PROD000002,CAT0009,Pro Garden Tools If,Significant whole notice safe bag message personal may politics main president form.,28.05,12.24,2880,78,13,30,228,True,2023-03-05T20:31:22
PROD000003,CAT0017,Mini Outdoor Gear Gas,Yard our get their husband newspaper so throughout.,72.04,39.14,21554,28,39,57,59,True,2021-12-22T13:41:17
PROD000004,CAT0013,Pro Shoes Water,Especially own either western daughter window exist evening modern part.,205.95,91.49,24515,94,27,6,190,True,2020-02-07T19:07:11
PROD000005,CAT0008,Essential Bedding Available,What indicate for party behavior movie democratic.,25.0,13.93,19238,72,2,43,450,True,2022-09-19T17:49:24
PROD000006,CAT0016,Mini Fitness Equipment World,Beat like where collection son explain several structure down answer.,25.0,16.45,7047,29,44,65,244,True,2020-11-03T17:28:50
PROD000007,CAT0012,Smart Women's Clothing Hand,Front stand note pretty issue after boy.,220.31,113.76,20596,74,56,14,74,True,2024-05-03T02:30:20
PROD000008,CAT0010,Premium Lighting How,Book offer kid heart better source yeah painting stop agent him Democrat material often.,83.17,54.76,15702,70,6,77,84,True,2023-07-08T17:26:14
PROD000009,CAT0024,Mini Skincare Health,Require cultural could modern test room history response eight north early try.,18.85,12.84,8650,57,5,60,21,True,2023-05-11T01:39:32
PROD000010,CAT0002,Smart Laptops Mrs,Soldier shoulder improve nature rule account physical something.,63.5,29.07,12294,55,30,33,383,True,2024-01-29T08:06:16
PROD000011,CAT0027,Mini Fragrances Site,Their year relate public compare ball less physical design make simply building school campaign who.,18.99,11.28,20868,25,17,71,147,True,2020-08-21T04:32:13
PROD000012,CAT0028,Ultra Action Figures Consider,Friend most box positive respond perform break scene leg better guy believe.,18.94,10.98,2223,76,7,23,395,True,2023-02-22T01:29:33
PROD000013,CAT0018,Ultra Cycling All,Young teacher find enjoy life situation someone affect effect probably catch without part think.,44.27,22.93,21354,48,21,73,309,True,2022-08-15T08:43:21
PROD000014,CAT0031,Ultra Car Accessories Four,Begin full fear glass feeling world nothing within good organization as off top adult.,5.0,2.77,24869,93,39,76,472,True,2021-03-02T11:23:41
PROD000015,CAT0031,Smart Car Accessories Through,Worry process enough realize onto again field population.,5.0,2.51,16095,48,36,71,315,True,2022-02-20T16:07:45
PROD000016,CAT0018,Mini Cycling Foreign,Institution power type certain body glass necessary stay lead simply speech describe old those travel.,16.87,11.48,9518,81,34,34,160,False,2022-10-04T03:26:44
